Issue Type;Key;Priority;Status;Summary;Created;Description;;;;;
Story;CODEE01-93;Highest;Closed;[eShop] Support 'Main Menu' navigation and products navigation;27-03-2023;"
● The system shall support 'Main menu' navigation
● Main menu navigation shall be available by clicking the icon next to username on the right top
● Main menu will contain the following options: Profile, Account information,Lists,Orders,Contact Support, Log out
● The system will support additional navigation under 'Products' tab from the top
● Products navigation contains products categories
● Note! Navigations are editable .";;;;;
Story;CODEE01-31;Highest;Closed;[eShop] Ability to search products by different criteria;27-03-2023;"As a B2B buyer 

I want to have ability to search products in different ways 

So that I can easy find necessary product fast 
 
  screenshot

Acceptance Criteria";;;;;
;;;;;;Search/sort places;Searching/sorting criteria;;;;
;;;;;;The system will support global product search by;"● Business SKU
● SGA SKU
● Last 5 digits of SGA SKU
● Keyword: product description, product category, product name
● Barcode
● Alternative barcode";;;;
;;;;;;The system will support search products at 'Quick Order' section by;"● Business SKU
● SGA SKU
● Last 5 digits of SGA SKU";;;;
;;;;;;The system will support search from 'Products List page' by the following;"● Pack Size
● Range
● Market
● Surface
● Type
● User Profile";;;;
;;;;;;The system will support sorting for search results by;"● Best match
● Product name (acs/des)
● SKU (acs/des)";;;;
;;;;;;"Scenario(s)
 
  screenshot
 screenshot
 screenshot

Scenario 1 User runs global search
GIVEN B2B buyer with access to eShop
WHEN B2B buyer goes to Home page --> inputs SKU/key word/SGID on Global search --> clicks on search button
THEN the system opens Products list page with correct search results
 
 

  
 

 screenshot
 screenshot
 
 
Scenario 2 User runs search from Product list page
GIVEN B2B buyer with access to eShop
WHEN B2B buyer goes to Products list page --> Selects one of the categories from left
THEN the system displays correct search results
 
 

  
";;;;;
Story;CODEE01-30;Highest;Closed;[Internal SF] Ability to process with new eShop users registration;27-03-2023;"projet manager  could you please provide us with the list of fields that need to be on the registration page that required for creation of a new company.



UPD: the list of fields in the related ticket 
  
   CODEExx-xxx
  

 

Also we suggest the following process:

Registration form -> Case record -> manager review them manually and activate users according to the instruction.

Let us know if it works for you.

 

 

As a Customer Service Supervisor 
I want to have ability to add new client for eShop 
So that I can extend the number of clients who will adopt eShop and new business process


Acceptance Criteria
● The system shall provide ability to create eShop user for client (Manual process in the first phase);
● Create case record
● Trigger email to customer service 
● Then offline process will follow where customer service will review the potential new B2B buyer and if all criteria are met they will manually create the account in MDM which syncs with QAD & SF and then they will have to manually create the user in internal SF 
● Once user is created in internal SF, system should send email notification with credentials
● Include instructions for customer service in userguide

 ";;;;;
Story;CODEE01-77;Highest;Closed;[UI/UX] Home page;27-03-2023;"As a business 

I want to eShop has custom style 

So that I can have all platforms in one style and reduce clients confusion



 

Figma: https://monurl.com 
 

General :
● Business is working on the content, it will be provided beginning of June so for now please put dummy content like on the Figma prototypes

Hero br :
● Business will be autonomous to change the text on this hero br, please include steps in the userguide

Quick add :
● See my comments in 
  
   CODEExx-xx
  

Featured products :
● This should display the products at product level, not SKU level (example: Product A with no size selected)
● For now, we will not add the pack size, price, quantity, and add to cart – If we have time, we will add it in the last sprint, otherwise we will keep it for the V2
● Business will be autonomous to change the text on this hero br, please include steps in the userguide

Product  A/B/C/D/E & F :
● Business will be autonomous to change the order of the components and the products featured in each component, please include steps in the userguide
● Product image should be clickable and lead to PDP";;;;;
Story;CODEE01-83;Highest;Closed;[UI/UX] Search (Product List page);27-03-2023;"Apply the UI styles according to the designhttps://www.monurl.com



Configure product filters.

 

As a business 
I want to eShop has custom style 
So that I can have all platforms in one style and reduce clients confusion

 

Updated by projet manager:
● We need to configure these filters (I know there are only 3 on the Figma but this has been confirmed by PO), the values of each filter can be found in our Teams group here (check the tab called “picklists”): Product Template for Loading to B2B Dev - With SFDC FIELDs.xlsx
    ◦ Market (column J)
    ◦ Surface (column I)
    ◦ Type (column G)
    ◦ Range (column E)
    ◦ User profile (column F, I know it’s called “user type” in the file but please name it as user profile on the storefront)
    ◦ Pack size (column A, I know it’s called “SKU variant” in the file but please name it as pack size on the storefront) 
● Renaming the filters in the future is possible --> please include this in the userguide (for example changing the term “market” to “industry”)
● When a user selects a filter, the page should dynamically update with the products that fit the criteria
● Product cards: Put the first pack size by default so the user can directly change the quantities and add to cart if the pack size by default is correct instead of clicking on the drop down and selecting a pack size, this is the standard in SF
● Salesforce provides a lot of options to sort besides 'Best Match' like sorting by product fields, asc desc and so on. Commerce admin can configure all these options. --> please include this in the userguide
● By default, 20 product cards are shown on the listing page before adding pagination, but this can be changed by the admin --> please include this in the userguide";;;;;
Story;CODEE01-187;Highest;Closed;APEX Code;12-05-2023;"Create a connector module to make the connection from QAD to SF. 

Will also be used by Digital agencyCRM team.

Due Date: 08 June 2023

 

 ";;;;;
Story;CODEE01-284;Highest;Closed;Live Data for DEMO session;02-06-2023;"For Demo session held on June 12th, we will need to prepare 'real' data and based on that update
1. product descriptions and
2. create customers

 

Data will be provided by projet manager  afterwards, User 1  please upload it to system to be ready for presentation on 7th June (pre demo run)";;;;;
Story;CODEE01-69;Highest;Closed;[CDP] Invoices and financial data;27-03-2023;"As a Tech 

I want to story 

So that I can N/A 




Acceptance Criteria

Integration with CDP for getting financial data";;;;;
Story;CODEE01-70;Highest;Closed;[CDP] Update partially product catalogue;27-03-2023;"As a Tech 

I want to story 

So that I can N/A 




Acceptance Criteria
Integration with CDP for updating Product catalouge with available information fron CDP";;;;;
Story;CODEE01-68;Highest;Closed;[eShop] Migration of the Basic config to the new StoreFront;27-03-2023;"As a Tech 

I want to story 

So that I can N/A 




Acceptance Criteria
Migration to production";;;;;
Story;CODEES-170;Highest;Closed;"

 Gtranslate – Our Picklist is not linking us to our Gtranslate:



 

Update on January 20  ( next to a call with  and Noemie) 

 

Issue identified : 
 1. As a user I navigate on the website and consult a page that is not the home (any page doesn't User 2er what ex : https://www.monurl.com  ) 

2. On the page consulted, I click on the selector and change the language (ex : From english select french ) 

3. The url that we get is in english whereas the content is in french  https://www.monurl.com 

4. Navigate on the main menu, and click on whatever other page (ex : Produit > Filtre ) 

5. The url we get is in french[ https://www.monurl.com 

6. From there, if you navigate every url would be in french (even the one that was in english at step 3) 

=> Same behaviour with every pages, exept home , the url of first page after using selector is in english whatever the language you choose (just url not content) 

 

Behaviour expected : 

1. After using the language selector, the url should be one the correct language. 
 A few exemples : 

French : https://www.monurl.com/fr/products/ should be  ** https://www.monurl.com/fr/produits
 German : https://www.monurl.com/de/products/ should be https://www.monurl.com/de/produkte/ ** 

 

 

 

FYI 

 

Regards,

";06-04-2023;"Hello, 
 
 
 
Please create the Onetrust GTM container for the following website : https://www.Businesslink.com/ 
 
Google designer lytics information : https://www.monurl.com
                   
  screenshot
 
 
 ";;;;;
Story;CODEES-76;Highest;Closed;Modify breadcrumbs;19-05-2022;"UAT
 
ETAPEL BUYER = EXPORT
 
SO16421
 
In QAD TEST I have a 2.5% discount at the header level
 
        
 
Current result:

● In UAT I don't see this 2.5% discount in the totals 
Expected result:

● I should see the 2.5% discount at header level in my totals, I think this field is already mapped but we need to display it on the eShop 
       ";;;;;
;;;;;;Name of the page;Content type;Link;Actual breadcrumb;expected breadcrumb;Comment
;;;;;;Solutions overview;Overview;/solutions;Home > Solutions;Home > Solutions;OK
;;;;;;Product overview ;Overview ;/products;Home > Solutions> Products;Home > Solutions> Products;OK (manually updated en PROD) 
;;;;;;Product range;Product range;/products/fused-cast;Home > Fused Cast;Home >Solutions > Products >Fused Cast;For all product range content type we need to add link toward solutions + Product overview. 
;;;;;;Product detail;Product;/products/er-1711;Home > Products> Er 1711;Home >Solutions >Products >Fused Cast> Er 1711;For all product pages, we need to add in breadcrumb link toward Solutions, and Product range. 
;;;;;;Service overview ;Overview ;/services;Home > Solutions> Services;Home > Solutions> Services;OK (manually updated en PROD) 
;;;;;;Service phase ;Service Phase ;/services/operations-repairs;Home > Services > Operations Repairs;Home >Solutions> Services > Operations Repairs;For all product range content type we need to add link toward solutions. 
;;;;;;Service detail ;Service;/services/operations-repairs/glass-defect-designer lysis;Home > Services > Operations Repairs > Glass Defect designer lysis;Home >Solutions> Services > Operations Repairs > Glass Defect designer lysis;For all product range content type we need to add link toward solutions. 
;;;;;;"Thanks 
";;;;;
Story;CODEESS-514;Highest;Closed;Make Hero Br title configurable;18-10-2021;"Hello,
 
Can you please add the heading configuration for Hero Br to allow to choose the heading tag that we want to use 
 
          
 
we already have this setting available for the other paragraphs 
 
         
 
Thank you,
 
Regards,
 
 ";;;;;
Story;CODEESS-517;Highest;Closed;Replicate the calculator for the Business D8 site ;14-06-2021;"Hello, 

Can we please estimatethe time necessary (front and back) to replicate the calculator functionality in the Business D8 site ? 

https://monurl.com

estimation should be based on the following elements :
1. It will be on a page built for it specifically. It won't be reusable anywhere else. 
2. The page won't have the possibility to display in narrow mode.
3. We will have an intro block above the calculator on the page
4. We will have a defined set of blocks below the calculator, the business will provide the list.

Thanks, 

 ";;;;;
Story;CODEESS-409;Highest;Closed;Install GTranslate module & add style to the dropdown;05-05-2021;"The translation will be done through GTranslate, so can you please install the module ? Thank you

You can see how it was done in the Business D7 site. We might need some CSS to place their language dropdown where we have our language dropdown (between contact us and search).";;;;;
Story;CODEESS-511;Highest;Closed;Extract URLs - Current Website;06-10-2021;"Hi, could you, please, send us an extract of all our urls into our current D8 website, please? 

 

Thanks in advance. 

FYI ";;;;;
Story;CODEESS-490;Highest;Closed;Business PROD - secondary nav;25-08-2021;"I was going to the beams page from the left nav and got the temporarily unavailable error
 
              
 

 
 screenshot
 screenshot";;;;;
Story;CODEESS-493;Highest;Closed;Business PROD - webform domain errror;25-08-2021;"It would seem that the email address is not allowing the domain extension on a persons email to be capitalized.  This fix is urgent since we are currently not getting leads for anyone who puts a capital like
example@email.com     since the S and G are caps";;;;;
Story;CODE1ABCD-34;Highest;Closed;Adjust the design of the mega menu without promo block;08-07-2021;"Hello 
 
I would like to have some padding below the last item which appears in the mega menu.  right now the accept line is right in the border of the window for the petro chem.  can we make sure it we have approximately the same amount of px you see under the line that exists for the zinc example please.
 
not a high priority.  
 
screenshot";;;;;
Story;CODE1ABCD-33;Highest;Closed;GTM - Update tagging plan ;02-07-2021;"Hello, 

You can find attached the tagging plan updated. 

Can you update in Master and Business UAT and PROD ?

Can you also implement the same plan in UAT business 1  and UAT business ?

[^exel_file_name.xlsx]

Thanks, ";;;;;
Story;CODEESS-462;Highest;Closed;Left Navigation;03-08-2021;"Hello, 
 
The left menu is not following the pages we are on. If I click on Display, the left menu will open another list of Industry. 
 
https://monurl.com
    
 
 ";;;;;
Story;CODEESS-314;Highest;Closed;Change Request -  News block;15-03-2021;"Hello, 
 
On the news and event page, instead of the cards block, we want to have a news block. 

1. This block would build dynamically based on the news details being created. The cards should generate the news in order by the newest news (at the top left) to appear to the oldest one (at the bottom).
2. By default it would show 9 news and then we would have a load more button to load older news on the page. 
3. In the B/O, we need to create a new field in the dates tab. It will be called ""end date"". When the date of this field hits, then the news is removed from all the blocks (related content, wayfindings, cards, etc) except from this block. 
4. For the style of load more, we should have the same as the one on the event page : https://monurl.com
screenshot
5. For the style of the overall block, please apply the same design as the cards block. It front should match the figma design.             
 
 
  screenshot";;;;;
Story;CODEESS-343;Highest;Closed;Change Request - Footer;25-03-2021;"I have noticed that in the footer you have made the sections required instead of optional.



In the original discussions we had identified that not all businesses would use every section and so we would want to make it optional to add the address section or the social links section so we will need hide the sections not populated by the business.

Also, I can no longer find how to edit the first section which used to allow us to put a secondary logo and caption,

*********************************************

To do : 
1. On the first section (logo and name of company) 
    a. The first logo should redirect to monurl.com and should open in a new tab 
    b. We need to add a second logo (will be redirecting to the homepage of the site, in the same tab) and a second company name . They should be optionnal.
2. On the address section:
    a. On the front, remove the display for the two labels ""address"" and ""phone"". 
    b. Change the content to be left justify
3. The address section and the social links section should be optionnal. If not filled, they shouldn't be displayed in the front. (Right now it creates a blanck space)

 ";;;;;
Story;CODEESS-40;Highest;Closed;Video Center Block;02-12-2020;"Confluence Link for design: https://www.monurl.com



******************************************

User Stories: 

Source of the video**



 
As a publisher, I should be able to choose bewteen different sources when adding a video :
 * 


● 
    ◦ Streamed from Youtube or Business video
● 
    ◦ Directly loaded to Drupal 8 only if streaming features are possible AL: we can use Media module to choose which media to select (youtube or video)

Video display settings**



 
As a publisher, I should be able to configure the video display settings :
 * 


● 
    ◦ change the auto generated image with a specific thumbnail**
● 
    ◦ configure a size for the video display, depending on whether some text is displayed or not, or if the element is on a narrow page or a full width page ...
● 
    ◦ allow or not full size video
● 
    ◦ hide or display video display settings for the user

Video player settings



 
As a publisher, I should be able to set up in the Back-office the video player settings :
 * set up the start of the video at a very precise moment, by specifying the timecode.


● set up the start and stop of the video if the user is scrolling up or down.
● set up the automatic start of the video in mute mode when the user is opening the page.
● set up the YouTube's ""Enable privacy-enhanced mode"" option.
● display the replay at the end of the video instead of related videos.
● show or hide video player controls.
● show or hide Iframe borders*.*

Accessibility features**



 
As a publisher, I should be able to configure accessibility features for users who would need it (in an inclusive approach and to improve SEO referencing) :
 * add, edit and remove a name for a video


● add, edit and remove metatags
● add, edit and remove subtitles and legend
● add, edit and remove video transcription

Layout of the video in the block



 
As a publisher, I should be able to define precisely where to display the elements inside the block :
 * have the possibility to automatically size the video according to the size of the block



Mobile : 

Full screen Video with automatic screen rotation

 
As a user, the video should be displayed in fullscreen when I toggle my device in landscape mode, if the automatic screen rotation is activated on my device.


********************************************

Pre-conditions:

Desktop : 

Pre-conditions

A video center block is composed of :
● Left Part (1/2):
    ◦ Thumbnail for video
    ◦ A play button in the center
    ◦ On clicking the Play button, the video should play directly in the block. It should have the capabilities to expand full screen.
● Right Part (1/2):
    ◦ Background - Grey
    ◦ Should have a Title
    ◦ A blue line
    ◦ Followed by descriptive text, customizable
    ◦ A CTA button customizable – on click the video should open start playing in the block. It should have the capabilities to expand full screen.

Mobile: 

The video should be responsive. 

********************************************

Acceptance Criteria:

Scenario 1: 
● As a publisher
● When I configure the Video block in the Back-Office
● Then I can choose between different streaming sources for my video without constraints

Scenario 2:
● As a publisher
● When I build the Video block in the Back-Office
● Then I can configure the video display settings described above without having to modify the source code.

Scenario 3:
● As a publisher
● When I build the Video block in the Back-Office
● and When  ** I set up the Video player in the Back-Office
● Then  ** I can configure the video player settings and modify the properties attributes (described above) without having to do it in the source code.

Scenario 4: 
● As a publisher
● When I build the Video block in the Back-Office
● and When I set up the Video player in the Back-Office
● Then I can configure accessibility features (described above) without having to do that in the source code.";;;;;
Story;CODEESS-153;Highest;Closed;Newsletter Subscription Block;08-01-2021;"Confluence Link for design: https://www.monurl.com



******************************************

User Stories:

As a publisher, I want to solicit interest in blogs or newsletters to my users by building a form ....

The publisher should be able to build the webform with a Webform Builder :
● edit, add or remove webform fields.
● edit, add or remove the text inside the webform (use of a WYSIWYG editor).
● design easily the form (text color and transformations, size of the fields, background-color, design of the ""Submit"" button).
● add, edit or remove the notification text or the ""Submit"" button text.
● modify the redirection URL or notifications after submit.

Form content
● Text : Title to provide a clear description of the offer, and what the user is signing up to.
● Email address field : <input type = ""email""> with label.
● GDPR consent checkbox : <input type = ""checkbox""> with label and some text with URL link possible to explain the gdpr consent.
● Submit button : <input type = ""submit""> with a designed button to send the form.
● 
● Hidden field (optional) Items of interest field : If relevant an hidden filled pre-filled with any relevant information (to be specified by the business during the phase of setup).

Data validation check
● a red asterisk should identify mandatory fields.
● all fields are mandatory (email address and gdpr consent).
● the email address must be valid.
● In the case of non-conformity while submitting the form, an error message must notify clearly how the user can correct his inputs (summary and highlight of the inputs to correct).

... displayed in a block element.

The publisher should be able to
● design a block or replicate the design of any existing block on the website.
● add or remove the Newsletter subscription block in any page, according to the business specifications.

Then I will capture the user as a lead and send the promise Newsletter to the subscriber .

The publisher should be able to capture easily the user as a lead, track some information and provide the newsletter to the subscriber :
● edit, add or remove the mapping between the fields of the Newsletter subscription block and Salesforce, GetResponse or other (from where the newsletter is designed and sent)
● access to the leads via the back-office.
● consult in a dedicated area of the Back-Office the list of subscribers. The publisher should be able to export this list in a csv file.
● add, edit of remove GTM tags to track the user activity, according to business specifications.

***************************************************

Pre-conditions:
● The Newsletter subscription block can be displayed in any page of the site, according to the specifications of the business during the setup phase.
● This block invites the user to subscribe to a newsletter by entering his email address and giving his consent to gdpr.

Basic Flow

As a user, I'm highly interested in blogs and information from the website, so I'd like to subscribe to the Newsletter
● Scenario 1

IF the user (anonymous or logged in) does not fill in the form

THEN nothing happens during his navigation and he will not be registered in the subscribers list.
● Scenario 2

IF the user (anonymous or logged in) submit the form with a correct address email AND gdpr consent given

THEN  a message should notify him that he has successfully subscribed to the newsletter.
● Scenario 3

IF the user (anonymous or logged in) submit the form with a mandatory input missing (incorrect email format OR missing tick in the GDPR consent checkbox)

THEN an error message is displayed in red and the fields to correct are highlighted.

Post conditions
● A notification text is displayed after submitting, informing the user that he has successfully subscribed to the newsletter.
● The user is automatically added to the list of subscribers and receives in his inbox the newsletters when they are sent by the system (Salesforce, GetResponse...)

Mobile:

Same as desktop requirements for website user and publisher. Responsive.

*********************************************

Acceptance Criteria

 
● As anonymous user or a logged in user
● When going into the website, on some pages
● Then I can see a subscription block to the newsletter.

 
● As anonymous user or a logged in user
● When I am interested in subscribing to the newsletter
● And When I submit the form without having fill in correctly all the mandatory fields marked with a red asterisk
● Then the incorrect or missing fields are highlighted, and an error message is displayed, showing me where I need to correct my inputs.

 
● As anonymous user or a logged in user
● When I submit the form with all mandatory fields correctly filled in
● Then I will see a notification informing me that I have successfully subscribed to the newsletter.

 
● As  a subscriber of the newsletter
● When a newsletter is available and sent by the system
● Then I will receive it in my inbox.
● As a Publisher,
● When going into the website in the page dedicated to the Newsletter component
● Then I can add, edit or remove the block, webform and information related to the section.
● As a Publisher,
● When going into the website
● Then I can add or remove the Newsletter subscription Block to a page of the website

 
● As a Publisher,
● When a user has filled in correctly the webform,
● Then I can consult the leads in the back-office of the site AND/OR in Salesforce or GetResponse (if the mapping has been done)

 
● As a Publisher,
● When going into the website in the back-office dedicated area
● Then I can consult the list of subscribers and export this list in a csv file.";;;;;
Story;CODEESS-340;Highest;Closed;Product Page - Preview and Download;24-03-2021;"Confluence Link for design: https://www.monurl.com



******************************************

Pre-conditions:

Desktop :

This section is composed by:
● Left side of the block
● Right side of the block
● Download Selected cart: It will be placed on the top right of the section. The counter should increase or decrease based on the selection of documents.
● On the left side of the block:
● Title – Customizable
● Content Type – To be displayed based on the type of document
● Title of Document – To be pulled from the related item
● Summary Description – To be pulled from the related item
● Format Type – To be displayed based on the format of the document 
● Document Size – To be displayed based on the size of the document in MBs, autogenerated.
● On the right side of the block:
● Select – a checkbox to select and add document to the downloads cart
● Preview icon button– Opens the document
● Download icon button – Downloads a zip file of the selected documents
● On the extreme right, an image placeholder (autogenerated by default, thumbnail field available to replace the image)

For Product Page: display 5 items and then load more button

 

Mobile:

This section is composed by:
● On the left side of the block:
● On the right side of the block:
● Download Selected: It will be placed on the top right of the section. The counter should increase or decrease based on the selection of documents.
● Title – Customizable
● Content Type – To be displayed based on the type of document
● Title of Document – To be pulled from?
● Summary Description – To be pulled from?
● Format Type – To be displayed based on the format of the document
● Number of Pages – To be displayed based on the pages in the document
● Document Size – To be displayed based on the size of the document in MBs
● Select – a checkbox to select and add document to the downloads cart
● Preview icon – Opens the document
● Download icon – Downloads a zip file of the selected documents
● On the extreme right, an image placeholder to display the front page of the document.

*********************************************

Acceptance Criteria

Scenario 0: Build of the component
● As a Publisher,
● When going into the website, in the section of the back-office where I can configure the Preview and Download section
● Then I should be able to add, edit or remove all the content in this section.
● As a Publisher,
● When going into the website, in the section of the back-office where I can configure the Preview and Download section
● Then I should be able to choose the icons, links associated with the icons and arrange them in the required order.

Scenario 1: Header of the component
● As a Publisher,
● When going into the website, in the section of the back-office where I can configure the Preview and Download section,
● Then I should be able to add or edit the title of the component as defined by the business.
● As an anonymous or logged in user,
● When going into the website in the Preview and Download section,
● And When checking the box of the content I wish to view or download
● Then I should see in the ""Download Selected"" the counter of the cart displaying the number of contents I have selected.

Scenario 2: Information on the content
● As a Publisher,
● When going into the website, in the section of the back-office where I can manage the documents
● Then I should be able to easily add, edit or remove some data linked to a document, and display in order to display the information to the user (title, content type, summary description, as defined in the user story above.
● As an anonymous or logged in user,
● When going into the website in the Preview and Download section,
● And When looking at the content related to a document,
● Then I should see, if available, useful information such as title, content type, summary description, format, number of pages, size of the document.

Scenario 3: Image associated to the content
● As a Publisher,
● When going into the website, in the section of the back-office where I can manage the documents
● Then I should be able to easily add or remove an image displaying the front page of the document OR setup an image of my choice for this content.
● As an anonymous or logged in user,
● When going into the website in the Preview and Download section,
● And When looking at the content related to a document, on the right part of the component,
● Then I should see an image relevant for this content (front page or another image).

Scenario 4: Preview, Download and Download Selected buttons for content with a ""Data Request"" flag
● As a Publisher,
● When going into the website, in the section of the back-office where I can manage the documents
● Then I should be able to add or remove a flag ""Data Request"" on this content in order to call the CTA Registration Pop-Up on Preview or Download actions.
● As an anonymous or logged in user,
● When going into the website in the Preview and Download section,
● And When clicking on the Preview button, Download button or Download Selected Button,
● And When at least one content has a flag ""Data Request"",
● Then a pop-up is displayed on my screen, inviting me to to give my email address and consent (mandatory fields) in order to receive a link to view or download the document(s)
 → see CTA Registration Pop-Up

**  Assertion for scenarios 5, 6 and 7 : no flag ""Data request"" on the content  **

Scenario 5: Preview of content
● As a Publisher,
● When going into the website, in the section of the back-office where I can manage the documents
● Then I can define the content which will be displayed as a Preview for this document.
● As an anonymous or logged in user,
● When going into the website in the Preview and Download section,
● And When clicking on the Preview button
● Then a preview of the content should be displayed on my screen.

Scenario 6: Download of one content
● As an anonymous or logged in user,
● When going into the website in the Preview and Download section,
● And When clicking on the Download button
● Then the associated content is download to my desktop.

Scenario 7: Download Selected (#)
● As an anonymous or logged in user,
● When going into the website in the Preview and Download section,
● And When selecting contents by clicking on the Select button associated to the document
● And When clicking on the Download Selected (#) button,
● Then the full lightbox of documents zipped up is downloaded to my desktop.

 Mobile:

Same as Desktop but related to a mobile (touching and not clicking, download on the device's memory...)

The principles are the same but the design is different : vertical rather than horizontal display.";;;;;
Story;CODEE02-171;High;In User Review;EVO - Image Upload - Asset Bank - business component;24-09-2025;"Test Page 1: https://test.com  
 
Test Page 2: https://monurl.com 
 
 
 
Image Uploads

● Currently, we can only “add a new file from desktop.” Could we also add the option to choose from Assetbank? 
                               
 
  screenshot";;;;;
Story;CODEE02-165;High;Ready for production;EVO -  business - Arrows align with the title length;19-09-2025;"Test Page 1: https:/monurl.com 
 
Test Page 2: https:/monurl2.com 
 
 
Image Uploads

● Currently, we can only “add a new file from desktop.” Could we also add the option to choose from Assetbank? 
                               
 
  screenshot";;;;;
Story;CODEE02-153;High;Closed;EVO - Product table update;26-08-2025;"Figma link : https://www.monurl.com
As a webmaster - I can add a ""Product range table"" paragraph within an Industrial Challenge CT and the light version is displayed on desktop
 
The light version displayed will impact only the last table section & desktop display as presented below 
 
Light version - impacted section : 
 
     screenshot
 
 
 ";;;;;
;;;;;;Normal version;;;;;
;;;;;; screenshot;;;;;
;;;;;;Light version ;;;;;
;;;;;;This version does not display description and link. And have a slightly different style             screenshot;;;;;
;;;;;;"Mobile behaviour keep the current one that is define on the Figma 

Please estimateas an option the possibility for the webmaster to define if the material section should be displayed in complete or light version, for all the content types. 
● By defaut the material section would be displayed complete 
● If webmaster select the option ""Light display"" then the light display would be applied 
 
 

Acceptance criteria :  
";;;;;
;;;;;;Scenario;Details;;;;
;;;;;;Scenario 1 : Integrate the component to a page ;"As a webmaster,
when I create an Industrial challenge content type
I can integrate a product range table";;;;
;;;;;;Scenario 2 : Choose if to display light version(only if the option is validated)       *                      ;"As a webmaster,
when I create a product range table 
by defaut the complete version is displayed but I can choose to display the light one. ";;;;
;;;;;;Scenario 3 : Hover a product on the table                                             *                                                                                                                                                                  *                                 ;"As a user, 
when consult an industrial challenge content type
and hover a product 
I can see the hover style as defined on FIgma ";;;;
;;;;;;Scenario 4 : Click a product on the table     **     ;"As a user, 
when consult an industrial challenge content type
and click a product link
I'm redirected to the correct pages";;;;
;;;;;;Scenario 4  : Desktop display ;"As a user,
when I consult an Industrial Challenge content type
With a product range tabkle on desktop
I can see the display as defined on Figma  ";;;;
;;;;;;Scenario 5  : Mobile display ;"As a user,
when I consult an Industrial Challenge content type
With a product range tabkle on mobile (IOA and android)
I can see the display as defined on Figma ";;;;
Story;CODEE02-166;High;Closed;EVO - business - Pin Numbers;19-09-2025;"Test Page 1: https://monurl.com
 
Test Page 2: https://www.monurl.com
 
 
 
Pin Numbers

● The numbers currently have a white outline, which can disappear against a white background (example for pin 1 in screenshot below). I suggest removing the outline entirely. This would also match the styling of the numbered pins in the right-hand titles, which do not have contours. 
                  
 
  screenshot 
 
 ";;;;;
Story;CODEE02-152;High;Closed;EVO - Zoom option of an image;26-08-2025;"Figma link : https://www.monurl.com
*In the following ticket, features that should be estimated as an option are written in green. ** 
 
As a user when I click on an image from WYSIWYG 
 
then I can see the image within a popin and can zoom on it. 
 
Reference behaviour : https://www.monurl.com
 
Step 1 : Default 
  screenshot
     
 
Step 2 : Hover  
 
When user hover the image a ""+"" icone is displayed. 
  screenshot
 
      
 
 
Step 3 : Click on the ""{+}""
 
When user click the image a popin is displayed . It is composed of 

1.  The image with a larger width (adapted to the screen possibility)  
2. The ""x"" icon to close the pop-in. 
3. Optional estimation : add the possibility to zoom in and out within the popin as on business exemple (we can provide visual up to a width of 2000px)  
 
  screenshot
 
 
Image within a WYSYWYG means : 

● the one directly uploaded in the WYSIWYG
● the one integrated through image templates   
Acceptance criteria : ";;;;;
;;;;;;Scenario;Details;;;;
;;;;;;Scenario 1 : Hover the image ;"As a user,
when I consult an Industrial challenge content type
and hover an image from the WYSIWYG
I see a + icon displayed";;;;
;;;;;;Scenario 2 : Click on the image                ;"As a user,
when I consult an Industrial challenge content type
and click on the ""+"" icon displayed
I see the pop-in displayed (with or without possibility to zoom according to validated estimation)";;;;
;;;;;;Scenario 3 : Mobile;"As a user,
when I consult an Industrial challenge content type on mobile (IOS and Android)
And click on the image 
I see the image opened within the pop-in.";;;;
Story;CODEE02-150;High;Closed;EVO - Creation of the Key insight component;19-08-2025;"Figma link : https://www.monurl.com
 
 

As a webmaster - when I create an Industrial Challenge CT, I can add a Key insight component within the content section.  
 

This key insight components is composed of : ";;;;;
;;;;;;Version A;Version B;;;;
;;;;;; screenshot; screenshot;;;;
;;;;;;Version C (with background color) ;Version D (with background color);;;;
;;;;;; screenshot; screenshot;;;;
;;;;;;"
1. A picto - selected among a list in BO - optional (we'll provide white color pictogram) 
2. A key figure - optional (should be a text field) - Max length : 1 line. Then display is cut with ""..."" 
3. A subtitle - Required -  Max length : 2 lines. Then display is cut with ""..."" 
4. A description - Optional - Max length : 3 lines. Then display is cut with ""..."" 
5. A color selected among the pre-defined one (editable new taxonomy)  - optional  (those color will both be used for flow component and key insight component) 
    a. This color can impact differently the component 
        i. Version A and B : it will impact the picto + subtitle 
        ii. Version C and D : it will impact the background color and the font color  
 

Functional precisions : 
● Webmaster can add up to 6 key insight.
● The display adapt according to the number of key insight and the device's width
● In mobile 2 key insights per lin are displayed as defined on the Figma  
 
 

Acceptance criteria :  
";;;;;
;;;;;;Scenario;Details;;;;
;;;;;;Scenario 1 : Integrate the component to a page ;"As a webmaster,
when I create an Industrial challenge content type
I can integrate a Key insight component ";;;;
;;;;;;Scenario 2 : Choose between version A, B, C or D            *             ;"As a webmaster,
when I create a Key insight component 
I can define which version will be displayed ";;;;
;;;;;;Scenario 3 : Update the color ;"As a webmaster,
within the back-office I can manage the different color to apply to the Key insightcomponent (add / edit / delete) ";;;;
;;;;;;Scenario 4  : Desktop display ;"As a user,
when I consult a page with a Key insight component 
I can see the display as defined on Figma (version A, B , C and D) ";;;;
